disease_id,disease_name,category,subcategory,icd10_code,description,pathophysiology,primary_symptoms,secondary_symptoms,all_symptoms,symptom_severity,causal_weight,differential_diagnosis,age_group,gender_bias,risk_factors,common_causes,prevalence,contagious,chronic_or_acute,key_questions,red_flags,urgency_level,specialist_type,recommended_medicines,diet_recommendations,home_remedies,exercise_recommendations,lifestyle_changes,precautions,complications_if_untreated,diagnostic_tests,treatment_approach
D001,Common Cold,Respiratory,Upper Respiratory Tract Infection,J00,Viral infection of the upper respiratory tract causing nasal congestion and mild systemic symptoms.,Rhinovirus infects nasal epithelial cells causing inflammation and increased mucus production.,Runny nose|Sneezing|Sore throat|Nasal congestion,Mild headache|Low-grade fever|Watery eyes|Mild cough|Fatigue,Runny nose|Sneezing|Sore throat|Nasal congestion|Mild headache|Low-grade fever|Watery eyes|Mild cough|Fatigue|Body aches,Runny nose:mild|Sneezing:mild|Sore throat:mild|Nasal congestion:mild|Headache:mild,Runny nose:0.85|Sneezing:0.80|Sore throat:0.70|Nasal congestion:0.85|Low-grade fever:0.40,Influenza|Allergic Rhinitis|COVID-19|Sinusitis,All ages,None,Weakened immune system|Close contact with infected individuals|Cold weather exposure|Lack of sleep|Stress,Rhinovirus|Coronavirus|RSV|Adenovirus,Very Common,Yes,Acute,How long have you had symptoms?|Is your mucus clear or colored?|Do you have fever above 101F?|Have you been around sick people?,Fever above 103F|Symptoms lasting more than 10 days|Severe sinus pain|Difficulty breathing,Routine,General Practitioner,Acetaminophen 500mg every 6 hours for pain|Pseudoephedrine 60mg every 6 hours for congestion|Dextromethorphan 10-20mg every 4 hours for cough|Saline nasal spray as needed,Increase fluid intake especially warm liquids|Chicken soup|Citrus fruits rich in Vitamin C|Honey with warm water|Avoid dairy if mucus is thick,Steam inhalation with eucalyptus oil|Saltwater gargle for sore throat|Honey and ginger tea|Rest and sleep|Warm compress on sinuses,Light walking if energy permits|Avoid intense exercise|Rest is priority|Resume normal activity when fever-free for 24 hours,Wash hands frequently|Avoid touching face|Get adequate sleep 7-8 hours|Manage stress levels|Stay hydrated,Cover mouth when coughing|Dispose tissues properly|Avoid close contact with others|Stay home if symptomatic,Sinusitis|Ear infection|Bronchitis|Asthma exacerbation|Pneumonia in immunocompromised,Usually clinical diagnosis|Rapid antigen test to rule out flu|Throat culture if strep suspected,Supportive care with rest and fluids|OTC medications for symptom relief|No antibiotics needed for viral infection
D002,Influenza,Respiratory,Viral Respiratory Infection,J11,Highly contagious viral infection affecting the respiratory system with sudden onset of high fever and body aches.,Influenza virus infects respiratory epithelium causing cell death and inflammatory response with systemic cytokine release.,High fever|Severe body aches|Dry cough|Extreme fatigue,Headache|Chills|Sore throat|Runny nose|Loss of appetite|Muscle pain,High fever|Severe body aches|Dry cough|Extreme fatigue|Headache|Chills|Sore throat|Runny nose|Loss of appetite|Muscle pain|Weakness|Sweating,High fever:severe|Body aches:severe|Dry cough:moderate|Fatigue:severe|Headache:moderate,High fever:0.90|Body aches:0.85|Dry cough:0.70|Extreme fatigue:0.85|Chills:0.75,Common Cold|COVID-19|Pneumonia|Strep Throat|Mononucleosis,All ages,None,Age over 65|Age under 5|Pregnancy|Chronic lung disease|Heart disease|Diabetes|Immunosuppression|Obesity,Influenza A virus|Influenza B virus|Seasonal mutation of flu strains,Very Common,Yes,Acute,Did symptoms start suddenly?|How high is your fever?|Do you have severe muscle aches?|Have you had a flu vaccine this season?,Difficulty breathing|Chest pain|Persistent vomiting|Confusion|Bluish lips or face|Fever above 104F for more than 3 days,Soon,General Practitioner|Pulmonologist,Oseltamivir 75mg twice daily for 5 days if within 48 hours|Acetaminophen 500-1000mg every 6 hours for fever|Ibuprofen 400mg every 6 hours for pain|Guaifenesin 200-400mg every 4 hours for cough,Clear fluids and broths|BRAT diet if nauseous|Vitamin C rich foods|Zinc-rich foods|Warm honey lemon water|Avoid alcohol and caffeine,Complete bed rest|Steam inhalation|Warm saltwater gargle|Honey and turmeric milk|Keep room humidified,Complete rest during acute phase|No exercise until fever-free for 48 hours|Gradual return to activity over 1-2 weeks,Get annual flu vaccination|Wash hands frequently|Avoid crowded places during flu season|Boost immune system,Isolate for at least 5-7 days|Wear mask around others|Disinfect surfaces|Cover coughs and sneezes,Pneumonia|Bronchitis|Sinus infection|Ear infection|Myocarditis|Encephalitis|Death in high-risk groups,Rapid influenza diagnostic test|RT-PCR for influenza|Nasopharyngeal swab|Complete blood count,Antiviral medication within 48 hours of onset|Supportive care with rest and fluids|OTC medications for symptom relief|Hospitalization for severe cases
D003,COVID-19,Respiratory,Viral Respiratory Infection,U07.1,Infectious disease caused by SARS-CoV-2 virus affecting primarily the respiratory system with potential multi-organ involvement.,SARS-CoV-2 binds ACE2 receptors causing direct cell damage and triggering excessive immune response leading to cytokine storm in severe cases.,Fever|Dry cough|Fatigue|Loss of taste or smell,Shortness of breath|Body aches|Headache|Sore throat|Nasal congestion|Diarrhea|Nausea,Fever|Dry cough|Fatigue|Loss of taste or smell|Shortness of breath|Body aches|Headache|Sore throat|Nasal congestion|Diarrhea|Nausea|Chills|Chest tightness|Brain fog,Fever:moderate|Dry cough:moderate|Fatigue:severe|Loss of taste:moderate|Shortness of breath:severe,Loss of taste or smell:0.92|Fever:0.80|Dry cough:0.75|Fatigue:0.70|Shortness of breath:0.80,Influenza|Common Cold|Pneumonia|RSV Infection|Allergic Rhinitis,All ages,Males slightly higher severity,Age over 60|Obesity|Diabetes|Heart disease|Chronic lung disease|Immunosuppression|Hypertension,SARS-CoV-2 virus and its variants|Airborne transmission|Close contact with infected person,Very Common,Yes,Acute with possible long-term effects,When did symptoms start?|Have you lost your sense of taste or smell?|Do you have difficulty breathing?|Have you been in contact with a confirmed case?|Are you vaccinated?,Severe difficulty breathing|Persistent chest pain|Confusion|Inability to stay awake|Bluish lips or skin|Oxygen saturation below 94%,Soon to Immediate depending on severity,General Practitioner|Pulmonologist|Infectious Disease Specialist,Acetaminophen 500-1000mg every 6 hours for fever|Dexamethasone 6mg daily for severe cases|Paxlovid if within 5 days for high-risk|Vitamin D 2000IU daily|Zinc 50mg daily,High protein diet for recovery|Anti-inflammatory foods|Vitamin C rich fruits|Turmeric and ginger|Stay well hydrated|Probiotic-rich foods,Steam inhalation|Prone positioning for better breathing|Warm saltwater gargle|Honey and ginger tea|Deep breathing exercises|Rest in well-ventilated room,Complete rest during acute infection|Breathing exercises during recovery|Very gradual return to activity|Monitor heart rate during exercise,Stay up to date on vaccinations|Practice hand hygiene|Wear mask in crowded indoor spaces|Maintain good ventilation,Isolate for at least 5 days|Wear high-quality mask|Monitor oxygen levels|Seek emergency care if breathing worsens,ARDS|Pneumonia|Blood clots|Stroke|Heart inflammation|Kidney failure|Long COVID syndrome|Death,RT-PCR test|Rapid antigen test|Chest CT scan|Pulse oximetry|D-dimer test|CBC with inflammatory markers|CRP and ferritin levels,Mild: supportive care at home|Moderate: antivirals and close monitoring|Severe: hospitalization with oxygen and steroids|Critical: ICU with mechanical ventilation
D004,Asthma,Respiratory,Chronic Airway Disease,J45,"Chronic inflammatory disease of the airways causing recurring episodes of wheezing, breathlessness, chest tightness and coughing.",Chronic airway inflammation leads to bronchial hyperresponsiveness and reversible airflow obstruction due to smooth muscle contraction and mucus hypersecretion.,Wheezing|Shortness of breath|Chest tightness|Recurring cough especially at night,Difficulty sleeping due to coughing|Fatigue|Anxiety during attacks|Rapid breathing,Wheezing|Shortness of breath|Chest tightness|Recurring cough|Difficulty sleeping|Fatigue|Rapid breathing|Difficulty speaking|Anxiety,Wheezing:moderate|Shortness of breath:severe|Chest tightness:moderate|Cough:moderate,Wheezing:0.92|Shortness of breath:0.85|Chest tightness:0.80|Recurring cough at night:0.78|Rapid breathing:0.70,COPD|Bronchitis|Heart failure|Vocal cord dysfunction|Pulmonary embolism,All ages often starts in childhood,Males more common in childhood females more in adulthood,Family history of asthma|Allergies|Eczema|Obesity|Smoking exposure|Air pollution,Allergens like dust mites pollen mold|Exercise|Cold air|Respiratory infections|Stress|Air pollution,Very Common,No,Chronic with acute exacerbations,When do your symptoms worsen?|Do you have allergies or eczema?|Does exercise trigger symptoms?|Do symptoms worsen at night?|Family history of asthma?,Cannot speak in full sentences|Lips turning blue|No relief from rescue inhaler|Severe chest retractions,Routine for management and Immediate for severe attacks,Pulmonologist|Allergist,Salbutamol inhaler 2 puffs as needed for rescue|Fluticasone inhaler 100-250mcg twice daily for maintenance|Montelukast 10mg daily|Budesonide-Formoterol combination inhaler|Prednisolone 40mg for 5 days for exacerbations,Anti-inflammatory diet rich in fruits and vegetables|Omega-3 fatty acids|Avoid sulfite-containing foods|Vitamin D rich foods|Magnesium rich foods,Breathing exercises and pursed lip breathing|Steam inhalation|Ginger and turmeric tea|Keep home dust-free|Use air purifier,Swimming is excellent for asthmatics|Warm up before exercise|Use rescue inhaler 15 minutes before exercise|Yoga and breathing exercises,Identify and avoid triggers|Use dust-proof mattress covers|Remove carpets if possible|No smoking or secondhand smoke|Regular follow-up,Always carry rescue inhaler|Have written asthma action plan|Monitor peak flow regularly|Get flu and pneumonia vaccines,Status asthmaticus|Permanent airway remodeling|Reduced lung function|Respiratory failure|Death from severe attacks,Spirometry with bronchodilator reversibility|Peak flow monitoring|Methacholine challenge test|Allergy skin testing|Chest X-ray|Exhaled nitric oxide,Step-up therapy based on severity|Rescue inhaler for acute symptoms|Daily controller medications|Allergen avoidance|Biologic therapy for severe asthma
D005,Pneumonia,Respiratory,Lower Respiratory Tract Infection,J18,Infection of the lung parenchyma causing inflammation and fluid accumulation in the alveoli leading to impaired gas exchange.,Pathogens infect alveolar spaces triggering inflammatory response with neutrophil infiltration and exudate formation causing consolidation.,Productive cough with colored sputum|High fever with chills|Shortness of breath|Chest pain worse with breathing,Rapid breathing|Fatigue|Loss of appetite|Nausea|Confusion in elderly|Sweating,Productive cough|High fever|Chills|Shortness of breath|Pleuritic chest pain|Rapid breathing|Fatigue|Loss of appetite|Nausea|Confusion|Sweating,Productive cough:severe|High fever:severe|Shortness of breath:severe|Chest pain:moderate|Fatigue:severe,Productive cough with colored sputum:0.88|High fever with chills:0.85|Pleuritic chest pain:0.82|Shortness of breath:0.80,Bronchitis|Tuberculosis|Lung cancer|Pulmonary embolism|Heart failure|COVID-19,All ages higher risk in young children and elderly,Slightly more common in males,Age over 65|Age under 2|Smoking|COPD|Diabetes|Heart disease|Immunosuppression|Alcoholism,Streptococcus pneumoniae|Haemophilus influenzae|Mycoplasma pneumoniae|Influenza virus|SARS-CoV-2,Common,Depends on cause,Acute,What color is your sputum?|How long have you had the cough?|Do you have difficulty breathing at rest?|Have you been hospitalized recently?,Oxygen saturation below 92%|Severe confusion|Blood in sputum|Rapid deterioration|Blood pressure dropping,Urgent,Pulmonologist|Infectious Disease Specialist,Amoxicillin 500mg three times daily for 5-7 days|Azithromycin 500mg day 1 then 250mg for 4 days|Levofloxacin 750mg daily for resistant cases|Acetaminophen for fever|Oxygen therapy if needed,High calorie high protein diet|Warm soups and broths|Plenty of fluids|Vitamin A and C rich foods|Probiotics during antibiotics,Rest in semi-upright position|Steam inhalation|Warm turmeric milk|Fenugreek tea|Honey and ginger|Stay well hydrated,Complete bed rest during acute phase|Deep breathing exercises when recovering|Gradual return to activity over 2-4 weeks,Quit smoking|Get pneumococcal and flu vaccines|Practice good hand hygiene|Treat underlying conditions,Complete full course of antibiotics|Monitor breathing and temperature|Seek emergency care if worsening|Follow up chest X-ray,Sepsis|Lung abscess|Pleural effusion|Empyema|Respiratory failure|ARDS|Death,Chest X-ray|Sputum culture and sensitivity|Complete blood count|Blood cultures|Pulse oximetry|CT chest for complications,Empiric antibiotics based on community vs hospital acquired|Supportive care with oxygen and fluids|Hospitalization for moderate-severe cases
D006,Tuberculosis,Respiratory,Chronic Bacterial Infection,A15,Chronic bacterial infection caused by Mycobacterium tuberculosis primarily affecting the lungs.,Inhaled M. tuberculosis bacilli reach alveoli forming granulomas. In active TB the immune response fails causing caseous necrosis and cavitation.,Persistent cough for more than 3 weeks|Coughing up blood|Night sweats|Unexplained weight loss,Low-grade fever especially in evening|Fatigue|Loss of appetite|Chest pain|Chills,Persistent cough|Hemoptysis|Night sweats|Weight loss|Low-grade fever|Fatigue|Loss of appetite|Chest pain|Chills|Weakness,Persistent cough:severe|Hemoptysis:severe|Night sweats:moderate|Weight loss:severe,Persistent cough over 3 weeks:0.88|Hemoptysis:0.85|Night sweats:0.82|Unexplained weight loss:0.80|Low-grade evening fever:0.78,Lung cancer|Pneumonia|Sarcoidosis|Fungal infection|Lymphoma,All ages,More common in males,HIV infection|Close contact with TB patient|Immunosuppression|Malnutrition|Diabetes|Homelessness,Mycobacterium tuberculosis|Airborne transmission from active TB patient|Reactivation of latent TB,Common in developing countries,Yes highly contagious,Chronic,How long have you had the cough?|Have you coughed up blood?|Do you have night sweats?|Have you lost weight?|Contact with TB patient?,Massive hemoptysis|Severe weight loss|Meningeal signs|Spinal deformity|Severe respiratory distress,Urgent,Pulmonologist|Infectious Disease Specialist,Intensive phase 2 months: Isoniazid plus Rifampicin plus Pyrazinamide plus Ethambutol daily|Continuation phase 4 months: Isoniazid plus Rifampicin daily|Pyridoxine 25mg daily to prevent neuropathy,High calorie high protein diet|Eggs fish chicken and legumes|Fresh fruits and vegetables|Avoid alcohol completely|Iron-rich foods,Garlic has natural antimicrobial properties|Green tea antioxidants|Mint and tulsi tea|Adequate sunlight for Vitamin D|Good nutrition,Rest during initial treatment phase|Light walking as energy improves|Breathing exercises|Gradually increase activity,Complete full 6 month treatment without missing doses|Stop smoking and alcohol|Improve nutrition|Ensure good ventilation at home,Directly Observed Therapy recommended|Cover mouth while coughing|Adequate ventilation|All household contacts should be screened,Miliary TB|TB meningitis|Spinal TB|Drug resistant TB|Lung destruction|Death,Sputum AFB smear and culture|GeneXpert MTB/RIF|Mantoux tuberculin skin test|Chest X-ray|IGRA blood test|Drug sensitivity testing,DOTS strategy with 4-drug intensive phase followed by 2-drug continuation phase|Total 6 months for drug-sensitive TB|Supportive nutrition|Contact tracing
D007,COPD,Respiratory,Chronic Airway Disease,J44,Progressive chronic lung disease characterized by persistent airflow limitation due to airway and alveolar abnormalities from noxious exposure.,Chronic inflammation from inhaled irritants leads to small airway fibrosis and alveolar destruction causing progressive irreversible airflow obstruction.,Chronic productive cough|Progressive breathlessness|Wheezing|Frequent respiratory infections,Barrel-shaped chest|Fatigue|Weight loss in advanced disease|Ankle swelling|Morning headaches,Chronic cough|Sputum production|Progressive dyspnea|Wheezing|Frequent infections|Barrel chest|Fatigue|Weight loss|Ankle edema|Cyanosis,Chronic cough:moderate|Progressive breathlessness:severe|Wheezing:moderate|Frequent infections:moderate,Progressive breathlessness:0.90|Chronic productive cough:0.85|Wheezing:0.75|Barrel chest:0.70,Asthma|Heart failure|Bronchiectasis|Lung cancer|Pulmonary fibrosis|Tuberculosis,Usually over 40,Historically more in males but increasing in females,Smoking history|Occupational dust exposure|Indoor air pollution|Alpha-1 antitrypsin deficiency|Childhood respiratory infections,Cigarette smoking|Long-term exposure to air pollution|Occupational exposures|Alpha-1 antitrypsin deficiency,Common,No,Chronic progressive,Do you smoke or have you ever smoked?|How many pack-years?|When did breathlessness start?|Can you walk without getting short of breath?|How often do you get chest infections?,Severe breathlessness at rest|Confusion or drowsiness|Rapid worsening|Coughing up blood|New chest pain|Oxygen below 88%,Soon for management and Immediate for exacerbations,Pulmonologist,Tiotropium 18mcg inhaled once daily|Salbutamol inhaler as needed|Fluticasone-Salmeterol 250/50mcg twice daily|Prednisolone 30-40mg for 5 days during exacerbations|Home oxygen if indicated,High protein diet|Small frequent meals|Complex carbohydrates|Limit salt|Adequate calcium and Vitamin D|Anti-inflammatory foods,Pursed lip breathing technique|Diaphragmatic breathing|Steam inhalation|Eucalyptus oil aromatherapy|Ginger tea|Avoid cold air,Pulmonary rehabilitation program|Walking at own pace|Upper and lower limb exercises|Breathing exercises|Tai chi or gentle yoga,Stop smoking immediately|Avoid secondhand smoke|Get flu and pneumococcal vaccines|Maintain healthy weight|Join pulmonary rehab,Use inhalers correctly|Recognize early signs of exacerbation|Have action plan for flare-ups|Keep rescue medications accessible,Cor pulmonale|Respiratory failure|Pulmonary hypertension|Pneumothorax|Severe disability|Death,Spirometry showing FEV1/FVC less than 0.70|Post-bronchodilator FEV1|Chest X-ray|CT chest|Arterial blood gas|Alpha-1 antitrypsin level,Smoking cessation is most important|Bronchodilator therapy stepwise|Inhaled corticosteroids for frequent exacerbations|Pulmonary rehabilitation|Long-term oxygen therapy
D008,Bronchitis,Respiratory,Airway Infection,J20,Inflammation of the bronchial tubes causing persistent cough with mucus production.,Viral or bacterial infection causes inflammation of bronchial mucosa with increased mucus production and impaired mucociliary clearance.,Persistent cough|Mucus production clear white yellow or green|Chest discomfort|Fatigue,Low-grade fever|Wheezing|Shortness of breath on exertion|Sore throat|Body aches,Persistent cough|Mucus production|Chest discomfort|Fatigue|Low-grade fever|Wheezing|Shortness of breath|Sore throat|Body aches,Persistent cough:moderate|Mucus production:moderate|Chest discomfort:mild|Fatigue:moderate,Persistent cough:0.88|Mucus production:0.82|Chest discomfort:0.65|Low-grade fever:0.50|Wheezing:0.60,Pneumonia|Asthma|COPD|Pertussis|Post-nasal drip|GERD,All ages,None,Smoking|Air pollution exposure|Weakened immune system|GERD|Frequent respiratory infections,Respiratory viruses|Bacteria in some cases|Air pollution|Cigarette smoke,Very Common,Yes if viral or bacterial,Acute usually can become chronic,How long have you had the cough?|What color is your mucus?|Do you smoke?|Do you have a fever?|Is the cough worse at night?,Cough lasting more than 3 weeks|Blood in sputum|High fever|Severe shortness of breath,Routine,General Practitioner|Pulmonologist,Dextromethorphan for dry cough|Guaifenesin for productive cough|Acetaminophen for pain and fever|Albuterol inhaler if wheezing|Antibiotics only if bacterial confirmed,Warm fluids and soups|Honey in warm water|Citrus fruits|Garlic and onion|Avoid dairy if mucus is thick,Steam inhalation|Honey and lemon tea|Saltwater gargle|Ginger tea|Turmeric milk|Humidifier,Rest during acute symptoms|Light walking when feeling better|Avoid exercise in cold air|Deep breathing exercises,Quit smoking|Avoid air pollution|Wash hands frequently|Use humidifier|Stay hydrated,Cover mouth when coughing|Stay home if febrile|Complete antibiotic course if prescribed|Follow up if symptoms persist beyond 3 weeks,Pneumonia|Chronic bronchitis|COPD exacerbation,Usually clinical diagnosis|Chest X-ray if pneumonia suspected|Sputum culture if bacterial suspected|Pulmonary function tests if chronic,Supportive care for viral bronchitis|Cough suppressants and expectorants|Bronchodilators if wheezing|Antibiotics only for confirmed bacterial cause
D009,Sinusitis,Respiratory,Upper Respiratory Tract Infection,J32,Inflammation of the paranasal sinuses causing facial pain nasal congestion and discharge.,Obstruction of sinus ostia from mucosal edema leads to impaired drainage and secondary bacterial colonization.,Facial pain or pressure|Nasal congestion|Thick nasal discharge|Reduced sense of smell,Headache|Post-nasal drip|Cough|Ear pressure|Fatigue|Bad breath|Toothache upper teeth,Facial pain|Nasal congestion|Thick discharge|Reduced smell|Headache|Post-nasal drip|Cough|Ear pressure|Fatigue|Bad breath|Upper tooth pain|Fever,Facial pain:moderate|Nasal congestion:moderate|Thick discharge:moderate|Headache:moderate,Facial pain or pressure:0.88|Thick colored nasal discharge:0.85|Nasal congestion:0.75|Reduced sense of smell:0.72,Allergic Rhinitis|Migraine|Dental infection|Nasal polyps|Cluster headache,All ages,None,Recent URI|Allergies|Nasal polyps|Deviated septum|Smoking|Dental infections|Swimming,Viral progressing to bacterial|Streptococcus pneumoniae|Haemophilus influenzae|Allergic inflammation,Very Common,Underlying viral infection may be contagious,Acute or Chronic,Where is the pain located?|What color is your nasal discharge?|How long have symptoms lasted?|Do you have allergies?|Is pain worse bending forward?,Severe headache not relieved by medication|Visual changes or eye swelling|High fever|Symptoms worsening after improvement|Stiff neck,Routine to Soon,General Practitioner|ENT Specialist,Amoxicillin-Clavulanate 875mg twice daily for 10 days if bacterial|Fluticasone nasal spray 2 sprays each nostril daily|Pseudoephedrine 60mg every 6 hours|Saline nasal irrigation|Acetaminophen or Ibuprofen for pain,Spicy foods to help clear sinuses|Warm soups and broths|Plenty of fluids|Pineapple contains bromelain|Avoid dairy if mucus thickens,Steam inhalation 2-3 times daily|Neti pot saline rinse|Warm compress on face|Eucalyptus oil inhalation|Apple cider vinegar in warm water,Light walking may help drainage|Avoid swimming during acute infection|Yoga positions that promote drainage,Treat underlying allergies|Use humidifier|Avoid cigarette smoke|Practice nasal hygiene|Stay hydrated,Complete antibiotic course if prescribed|Follow up if no improvement in 7 days|Avoid flying during acute sinusitis|Do not overuse decongestant sprays beyond 3 days,Chronic sinusitis|Orbital cellulitis|Brain abscess|Meningitis|Osteomyelitis,Usually clinical diagnosis|CT scan of sinuses if chronic or complicated|Nasal endoscopy|Allergy testing,Watchful waiting for acute viral sinusitis|Nasal saline irrigation|Intranasal corticosteroids|Antibiotics for bacterial sinusitis lasting over 10 days|Surgery for chronic refractory cases
D010,Allergic Rhinitis,Respiratory,Allergic Condition,J30,Allergic inflammation of the nasal passages caused by allergen exposure leading to sneezing rhinorrhea and nasal congestion.,IgE-mediated hypersensitivity where allergens trigger mast cell degranulation releasing histamine causing nasal mucosal inflammation.,Sneezing especially in bursts|Runny nose with clear watery discharge|Nasal congestion|Itchy nose and eyes,Watery itchy eyes|Post-nasal drip|Dark circles under eyes|Mouth breathing|Snoring|Reduced sense of smell,Sneezing|Clear runny nose|Nasal congestion|Itchy nose|Watery eyes|Itchy eyes|Post-nasal drip|Allergic shiners|Mouth breathing|Snoring|Reduced smell|Fatigue,Sneezing:moderate|Runny nose:moderate|Nasal congestion:moderate|Itchy nose and eyes:moderate,Sneezing in bursts:0.88|Clear watery rhinorrhea:0.85|Itchy nose:0.85|Itchy watery eyes:0.82|Nasal congestion:0.70,Common Cold|Sinusitis|Vasomotor Rhinitis|Nasal polyps|Foreign body in nose,All ages commonly starts in childhood,Slightly more common in males during childhood,Family history of allergies|Asthma|Eczema|Early childhood antibiotic exposure|Urban living,Pollen|Dust mites|Pet dander|Mold spores|Cockroach allergens,Very Common,No,Chronic with seasonal or perennial pattern,When do symptoms occur?|Are symptoms seasonal or year-round?|Do you have pets?|Family history of allergies?|Do you have asthma or eczema?,Unilateral symptoms|Blood-stained discharge|Severe nasal obstruction|Loss of sense of smell|Recurring nosebleeds,Routine,Allergist|ENT Specialist,Cetirizine 10mg daily or Loratadine 10mg daily|Fluticasone nasal spray 2 sprays each nostril daily|Azelastine nasal spray|Montelukast 10mg daily|Immunotherapy for severe cases,Anti-inflammatory diet|Local honey may help with pollen allergies|Quercetin rich foods like onions and apples|Omega-3 fatty acids|Probiotics|Vitamin C rich foods,Saline nasal rinse daily|Keep windows closed during high pollen|Use HEPA air purifiers|Wash bedding weekly in hot water|Shower after outdoor activities,Exercise indoors during high pollen days|Swimming may help|Wear sunglasses outdoors|Take antihistamine before outdoor exercise,Identify and avoid specific allergens|Use allergen-proof bedding covers|Remove carpets and heavy curtains|Keep humidity below 50%|Groom pets regularly,Monitor pollen counts|Start medications before allergy season|Do not overuse decongestant sprays|Watch for asthma development,Sinusitis|Asthma development|Ear infections|Nasal polyps|Sleep disturbance|Reduced quality of life,Skin prick testing|Serum specific IgE levels|Nasal smear for eosinophils|Nasal endoscopy|Total IgE level,Allergen avoidance|Intranasal corticosteroids as first line|Second-generation antihistamines|Combination therapy|Allergen immunotherapy for long-term management
